매장순위(상품),,,,,,,,,
매장,대분류,중분류,상품코드,바코드,상품명,수량,총매출액,할인액,실매출액
달빛에구운고등어첨단점,하이오더전용,하이오더전용,000422,,반반양념변경,1,"1,000",0,"1,000"
달빛에구운고등어첨단점,달빛고특선,달빛고특선,000387,,달빛1인       (고/무침),180,"2,700,000",0,"2,700,000"
달빛에구운고등어첨단점,달빛고특선,달빛고특선,000388,,보름2인      (고/삼/불),390,"12,480,000",0,"12,480,000"
달빛에구운고등어첨단점,달빛고특선,달빛고특선,000418,,(점)달빛1인     (고/무침),539,"7,815,500",0,"7,815,500"
달빛에구운고등어첨단점,어린이,어린이,000061,,어린이고등어,90,"900,000",0,"900,000"
달빛에구운고등어첨단점,어린이,어린이,000244,,어린이스테이크,95,"1,045,000",0,"1,045,000"
소계:달빛에구운고등어첨단점,,,,,,"10,284","175,516,000",0,"175,516,000"
달빛에구운고등어(군산미장점),주류,주류,000004,,코카콜라,67,"167,500",0,"167,500"
달빛에구운고등어(군산미장점),주류,주류,000005,,사이다,82,"205,000",0,"205,000"
달빛에구운고등어(군산미장점),주류,주류,000006,,환타,67,"167,500",0,"167,500"
달빛에구운고등어(군산미장점),주류,주류,000043,,참이슬,70,"280,000",0,"280,000"
달빛에구운고등어(군산미장점),주류,주류,000045,,카스,36,"144,000",0,"144,000"
달빛에구운고등어(군산미장점),주류,주류,000046,,테라,5,"20,000",0,"20,000"
달빛에구운고등어(군산미장점),주류,주류,000073,,진로,17,"68,000",0,"68,000"
달빛에구운고등어(군산미장점),주류,주류,000094,,새로,28,"112,000",0,"112,000"
달빛에구운고등어(군산미장점),주류,주류,000096,,청하,6,"30,000",0,"30,000"
달빛에구운고등어(군산미장점),주류,주류,000102,,처음처럼,30,"120,000",0,"120,000"
달빛에구운고등어(군산미장점),주류,주류,000131,,캘리,1,"4,000",0,"4,000"
달빛에구운고등어(군산미장점),주류,주류,000275,,밀키스,33,"82,500",0,"82,500"
달빛에구운고등어(군산미장점),생선구이,생선구이,000017,,고등어1마리,467,"7,238,500",0,"7,238,500"
달빛에구운고등어(군산미장점),생선구이,생선구이,000020,,삼치 1마리,101,"1,666,500",0,"1,666,500"
달빛에구운고등어(군산미장점),생선구이,생선구이,000021,,임연수구이,51,"867,000",0,"867,000"
달빛에구운고등어(군산미장점),생선구이,생선구이,000022,,갈치구이,118,"2,478,000",0,"2,478,000"
달빛에구운고등어(군산미장점),생선구이,생선구이,000039,,보리굴비구이,25,"625,000",0,"625,000"
